description;population;start_date;end_date;location;zones;annee_scolaire
Vacances de Noël;;2010-12-20;2011-01-03;Corse;Corse;2010-2011
Vacances de Printemps;;2011-04-18;2011-05-02;Corse;Corse;2010-2011
Vacances d’Hiver;;2012-02-20;2012-03-05;Corse;Corse;2011-2012
Vacances d'Été;Élèves;2012-07-09;2012-09-10;Corse;Corse;2011-2012
Vacances d’Hiver;;2013-02-18;2013-03-04;Corse;Corse;2012-2013
Vacances de Noël;;2013-12-23;2014-01-06;Corse;Corse;2013-2014
Vacances d'Hiver;;2015-02-22;2015-03-09;Corse;Corse;2014-2015
Vacances d'Été;Élèves;2016-07-07;2016-09-05;Corse;Corse;2015-2016
Vacances de la Toussaint;;2017-10-23;2017-11-06;Corse;Corse;2017-2018
Vacances d'Été;Élèves du second degré;2018-07-10;2018-09-06;Corse;Corse;2017-2018
Vacances d'Hiver;;2019-02-25;2019-03-11;Corse;Corse;2018-2019
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Guadeloupe;Guadeloupe;2018-2019
Vacances de Noël;;2019-12-21;2020-01-06;Guadeloupe;Guadeloupe;2019-2020
Vacances de Printemps;;2020-04-08;2020-04-23;Guadeloupe;Guadeloupe;2019-2020
Vacances d'Été;Enseignants;2018-07-07;2018-08-31;Guyane;Guyane;2017-2018
Vacances de la Toussaint;;2018-10-20;2018-11-05;Guyane;Guyane;2018-2019
Vacances de Noël;;2018-12-22;2019-01-07;Guyane;Guyane;2018-2019
Vacances de Carnaval;;2019-02-23;2019-03-11;Guyane;Guyane;2018-2019
Vacances d'Été;Enseignants;2020-07-04;2020-08-31;Guyane;Guyane;2019-2020
